Intermediate_1,Intermediate_2,Lower_1,Lower_2,Lower_3,Lower_Gate_1,Lower_Gate_2,Intermediate_Gate,Top_Prob,Top_Prob_Category
1.01E-05,1.00E-21,1.00E-07,1.00E-09,1.00E-05,0,1,0,1.01E-05,Major
1.00E-15,1.01E-03,1.00E-05,0.001,1.00E-07,1,0,1,1.01E-18,Catastrophic
1.01E-03,1.00E-17,0.001,1.00E-05,1.00E-09,0,1,1,1.01E-20,Catastrophic
1.00E-19,1.00E-03,1.00E-09,1.00E-07,0.001,1,0,0,1.00E-03,Minor
1.01E-05,1.00E-21,1.00E-07,1.00E-09,1.00E-05,0,1,0,1.01E-05,Major
1.00E-15,1.01E-03,1.00E-05,0.001,1.00E-07,1,0,1,1.01E-18,Catastrophic
1.01E-03,1.00E-17,0.001,1.00E-05,1.00E-09,0,1,1,1.01E-20,Catastrophic
1.00E-19,1.00E-03,1.00E-09,1.00E-07,0.001,1,0,0,1.00E-03,Minor
1.01E-05,1.00E-21,1.00E-07,1.00E-09,1.00E-05,0,1,0,1.01E-05,Major
1.00E-15,1.01E-03,1.00E-05,0.001,1.00E-07,1,0,1,1.01E-18,Catastrophic
1.01E-03,1.00E-17,0.001,1.00E-05,1.00E-09,0,1,1,1.01E-20,Catastrophic
1.00E-19,1.00E-03,1.00E-09,1.00E-07,0.001,1,0,0,1.00E-03,Minor
1.01E-05,1.00E-21,1.00E-07,1.00E-09,1.00E-05,0,1,0,1.01E-05,Major
1.00E-15,1.01E-03,1.00E-05,0.001,1.00E-07,1,0,1,1.01E-18,Catastrophic
1.01E-03,1.00E-17,0.001,1.00E-05,1.00E-09,0,1,1,1.01E-20,Catastrophic
1.00E-19,1.00E-03,1.00E-09,1.00E-07,0.001,1,0,0,1.00E-03,Safe
1.01E-05,1.00E-21,1.00E-07,1.00E-09,1.00E-05,0,1,0,1.01E-05,Minor
1.00E-15,1.01E-03,1.00E-05,0.001,1.00E-07,1,0,1,1.01E-18,Catastrophic
1.01E-03,1.00E-17,0.001,1.00E-05,1.00E-09,0,1,1,1.01E-20,Catastrophic
1.00E-19,1.00E-03,1.00E-09,1.00E-07,0.001,1,0,0,1.00E-03,Safe
1.01E-05,1.00E-21,1.00E-07,1.00E-09,1.00E-05,0,1,0,1.01E-05,Minor
1.00E-15,1.01E-03,1.00E-05,0.001,1.00E-07,1,0,1,1.01E-18,Catastrophic
1.01E-03,1.00E-17,0.001,1.00E-05,1.00E-09,0,1,1,1.01E-20,Catastrophic
1.00E-19,1.00E-03,1.00E-09,1.00E-07,0.001,1,0,0,1.00E-03,Safe
1.01E-05,1.00E-21,1.00E-07,1.00E-09,1.00E-05,0,1,0,1.01E-05,Minor
1.00E-15,1.01E-03,1.00E-05,0.001,1.00E-07,1,0,1,1.01E-18,Catastrophic
